交易所代码,交易所,期货品种,期货代码,数值
czce,郑州商品交易所,pta,pta_qh,16
czce,郑州商品交易所,菜油,czy_qh,18
czce,郑州商品交易所,菜籽,ycz_qh,18
czce,郑州商品交易所,菜粕,czp_qh,18
czce,郑州商品交易所,动力煤,dlm_qh,18
czce,郑州商品交易所,强麦,qm_qh,3
czce,郑州商品交易所,粳稻,jdm_qh,3
czce,郑州商品交易所,白糖,bst_qh,15
czce,郑州商品交易所,棉花,mh_qh,7
czce,郑州商品交易所,早籼稻,zxd_qh,23
czce,郑州商品交易所,郑醇,zc_qh,27
czce,郑州商品交易所,玻璃,bl_qh,27
czce,郑州商品交易所,晚籼稻,wxd_qh,27
czce,郑州商品交易所,硅铁,gt_qh,27
czce,郑州商品交易所,锰硅,mg_qh,27
czce,郑州商品交易所,棉纱,ms_qh,9
czce,郑州商品交易所,鲜苹果,xpg_qh,27
czce,郑州商品交易所,红枣,hz_qh,27
czce,郑州商品交易所,尿素,ns_qh,27
czce,郑州商品交易所,纯碱,cj_qh,27
czce,郑州商品交易所,短纤,pf_qh,27
czce,郑州商品交易所,花生,pk_qh,27
dce,大连商品交易所,pvc,pvc_qh,24
dce,大连商品交易所,棕榈,zly_qh,0
dce,大连商品交易所,豆二,de_qh,10
dce,大连商品交易所,豆粕,dp_qh,9
dce,大连商品交易所,铁矿石,tks_qh,9
dce,大连商品交易所,鸡蛋,jd_qh,9
dce,大连商品交易所,塑料,lldpe_qh,2
dce,大连商品交易所,pp,jbx_qh,2
dce,大连商品交易所,纤维板,xwb_qh,2
dce,大连商品交易所,胶合板,jhb_qh,2
dce,大连商品交易所,豆油,dy_qh,14
dce,大连商品交易所,玉米,hym_qh,12
dce,大连商品交易所,豆一,dd_qh,8
dce,大连商品交易所,焦炭,jt_qh,26
dce,大连商品交易所,焦煤,jm_qh,26
dce,大连商品交易所,玉米淀粉,ymdf_qh,26
dce,大连商品交易所,乙二醇,yec_qh,26
dce,大连商品交易所,粳米,gm_qh,26
dce,大连商品交易所,苯乙烯,byx_qh,30
dce,大连商品交易所,液化石油气,pg_qh,30
dce,大连商品交易所,生猪,lh_qh,30
shfe,上海期货交易所,燃油,ry_qh,13
shfe,上海期货交易所,原油,yy_qh,30
shfe,上海期货交易所,沪铝,lv_qh,1
shfe,上海期货交易所,橡胶,xj_qh,4
shfe,上海期货交易所,沪锌,xing_qh,17
shfe,上海期货交易所,沪铜,tong_qh,5
shfe,上海期货交易所,黄金,hj_qh,19
shfe,上海期货交易所,螺纹钢,lwg_qh,21
shfe,上海期货交易所,线材,xc_qh,22
shfe,上海期货交易所,沪铅,qian_qh,25
shfe,上海期货交易所,白银,by_qh,25
shfe,上海期货交易所,沥青,lq_qh,25
shfe,上海期货交易所,热轧卷板,rzjb_qh,14
shfe,上海期货交易所,沪锡,xi_qh,21
shfe,上海期货交易所,沪镍,ni_qh,21
shfe,上海期货交易所,纸浆,zj_qh,21
shfe,上海期货交易所,20号胶,ehj_qh,21
shfe,上海期货交易所,不锈钢,bxg_qh,21
shfe,上海期货交易所,低硫燃料油,lu_qh,21
shfe,上海期货交易所,国际铜,bc_qh,21
shfe,上海期货交易所,氧化铝,ao_qh,21
shfe,上海期货交易所,丁二烯橡胶,br_qh,21
cffex,中国金融期货交易所,沪深300指数期货,qz_qh,20
cffex,中国金融期货交易所,5年期国债期货,gz_qh,21
cffex,中国金融期货交易所,10年期国债期货,sngz_qh,21
cffex,中国金融期货交易所,上证50指数期货,szgz_qh,21
cffex,中国金融期货交易所,中证500指数期货,zzgz_qh,21
cffex,中国金融期货交易所,2年期国债期货,engz_qh,21
cffex,中国金融期货交易所,中证1000股指期货,im_qh,21
gfex,广州期货交易所,工业硅,si_qh,20
gfex,广州期货交易所,碳酸锂,lc_qh,20
